year,total_loss_ha,total_emissions_Mg
2001,5608.200420249783,3283488.3375538015
2002,3909.1626046761594,1969033.2893445808
2003,4121.781406969239,2203120.4502337063
2004,5788.492579406866,3123508.9779102425
2005,5616.684849245237,3073251.375918084
2006,5528.646675854476,3025813.0848303232
2007,11155.650929563626,6352589.410035489
2008,7890.611837906714,4406579.378583325
2009,5461.511313334665,3053689.3562609614
2010,1633.011079966836,942891.2676763728
2011,10086.832605630401,5719807.746146381
2012,9286.890423340026,5288799.526291145
2013,6045.1675147539245,3467822.6627924195
2014,7927.551901629864,4574524.06596661
2015,5618.393916553795,3297298.629573985
2016,12803.891829586453,7763818.674981377
2017,15228.684971176477,9319459.657019675
2018,12693.263512315289,7830826.326794165
2019,12962.488526230665,8038907.00335603
2020,11495.598205924209,7367765.951196423
2021,9604.9316067361,6501785.399916606
2022,11314.485148225718,7554976.453995942
2023,21159.030640496974,14368264.778654821
2024,17835.03066201641,11772360.01029309
2025,17087.77228689931,11621404.728437224
